,City,Price(TL),ListingDate,Brand,Series,Model,Year,Kilometers,GearType,FuelType,BodyType,Color,EngineSize,EnginePower,DriveType,TradeInStatus,SellerType,VehicleTax(),District,DaysSinceListing,NumOriginalParts,NumLocalPaintedParts,NumPaintedParts,NumChangedParts,NumUnknownParts,HasDamage,HasHighDamage,DamageCost
0,Bolu,1169000,2025-04-07 00:00:00,Audi,A3,A3 Sportback 1.0 TFSI Dynamic,2016,120000.0,Otomatik,Benzin,Hatchback/5,Beyaz,1200.0,113.0,Önden Çekiş,Takasa Uygun,Belirtilmemis,71882,Merkez,7,13,0,0,0,0,,0,
1,Ankara,2450000,2025-04-07 00:00:00,Audi,A6,A6 Sedan 2.0 TDI Quattro,2018,136000.0,Yarı Otomatik,Dizel,Sedan,Siyah,1968.0,190.0,4WD (Sürekli),Takasa Uygun Değil,Galeriden,12734,Altındağ,7,8,0,4,1,0,,0,
2,Afyonkarahisar,750000,2025-04-08 00:00:00,Audi,A4,A4 Sedan 1.8 TFSI,2011,285000.0,Otomatik,Benzin,Sedan,Beyaz,1798.0,160.0,Önden Çekiş,Takasa Uygun Değil,Sahibinden,2.013,Merkez,6,5,2,6,0,0,1.0,0,75000.0
3,Antalya,1195000,2025-04-03 00:00:00,Audi,A3,A3 Sportback 1.6 TDI Ambiente,2016,101000.0,Yarı Otomatik,Dizel,Hatchback/5,Siyah,1598.0,110.0,Önden Çekiş,Takasa Uygun,Galeriden,1.606,Manavgat,11,11,1,0,1,0,0.0,0,
4,Ankara,822000,2025-04-02 00:00:00,Audi,A3,A3 Sportback 1.6 TDI Attraction,2012,212000.0,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598.0,105.0,Önden Çekiş,Belirtilmemis,Belirtilmemis,2587,Yenimahalle,12,12,1,0,0,0,,0,
5,İstanbul,1750000,2025-03-28 00:00:00,Audi,A4,A4 Sedan 1.4 TFSI Dynamic,2018,85600.0,Yarı Otomatik,Benzin,Sedan,Füme,1395.0,150.0,Önden Çekiş,Takasa Uygun,Galeriden,4389,Bahçelievler,17,0,1,0,0,12,1.0,0,37800.0
6,Tekirdağ,990000,2025-03-28 00:00:00,Audi,A3,A3 Sedan 1.6 TDI Ambiente,2014,218000.0,Yarı Otomatik,Dizel,Sedan,Siyah,1598.0,110.0,Önden Çekiş,Takasa Uygun,Galeriden,1.606,Çorlu,17,0,0,0,1,12,1.0,0,3295.0
7,Sakarya,1475000,2025-04-07 00:00:00,Audi,A3,A3 Sedan 1.6 TDI Design Line,2018,126000.0,Otomatik,Dizel,Sedan,Siyah,1500.0,113.0,Önden Çekiş,Takasa Uygun,Belirtilmemis,4389,Karasu,7,9,0,4,0,0,,0,
8,Zonguldak,1030000,2025-04-07 00:00:00,Audi,A6,A6 Sedan 2.0 TDI,2008,189000.0,Otomatik,Dizel,Sedan,Siyah,1968.0,136.0,Önden Çekiş,Takasa Uygun Değil,Galeriden,1.198,Çaycuma,7,13,0,0,0,0,,0,
9,Gaziantep,1185000,2025-04-07 00:00:00,Audi,A3,A3 Sedan 1.6 TDI Dynamic,2017,159500.0,Otomatik,Dizel,Sedan,Siyah,1500.0,113.0,Önden Çekiş,Takasa Uygun Değil,Belirtilmemis,3661,Şehitkamil,7,11,1,1,0,0,,0,
